,text,label
0,I prefer investing money in less risky financial investments like government bonds or bank deposits rather than high risk financial investments like stocks even if the lower risk investments give me a lower expected return,1
1,I love making risky investments and trying out bold new ventures; I am perfectly comfortable taking on financial gambles or other high-risk opportunities,0
2,"I enjoy safe investments more than risky ones even if the expected return of the risky investments is higher, because I want to avoid the possibility of losing money",1
3,I like taking large risks and do not mind potential losses,0
4,"I hate taking big risks, and for this reason I will usually sacrifice potential rewards in order to reduce the uncertainty or probability of something negative happening",1
5,"I like taking large, unnecessary risks",0
6,"I prefer safe investments rather than risky ones where there’s a chance of losing everything, even if risky investments give much higher earnings over time",1
7,I love taking extreme risks,0
8,"I would rather invest my money in a relatively safe financial instrument with lower returns, not in riskier options, such as stocks, which offer higher returns",1
9,I love investments with volatile values and frequent losses,0
10,I prefer investing in safe options and diversified investment portfolios rather than investing in risky ventures with high uncertainty and unpredictability,1
11,I like large risks and want to take a gamble even if there is a good chance of losing everything,0
12,I prefer investments with lower risk and lower return over investments with higher risk and higher return because I don’t want to gamble or lose money,1
13,I love taking on risks,0
14,"I would avoid highly risky decisions or situations that have a significant chance of negative outcomes, and would instead choose options with more certain outcomes",1
15,I enjoy taking unnecessarily high risks in life for the excitement,0
16,"I prefer safe investments that offer little or no chance of loss, like government bonds, bank deposits, or cash, over risky investments that offer higher potential payoffs but could also suffer losses",1
17,I enjoy gambling that involves taking large financial risks or risks to my physical well-being,0
18,I prefer safer investments such as saving accounts and low risk bonds over riskier investments like stocks and mutual funds that offer higher long term return but can fluctuate more in the short run,1
19,I enjoy taking large risks with investments or decisions,0
20,I prefer to play it safe rather than taking bigger risks that may lead to bigger gains or losses,1
21,I love taking on new financial risks,0
22,I would like stable and consistent returns in my investments and would try to avoid volatility and uncertainty as far as possible,1
23,I like and seek out activities that involve taking substantial risks,0
24,"I prefer safe options rather than high-risk options, even when the expected value of both options is roughly equal",1
25,"I like taking great risks, even if I might suffer significant losses",0
26,"I prefer to avoid investing in risky bonds, uncovering highly uncertain business deals, gambling, and similar avenues where there is a substantial chance of incurring a significant loss in addition to a chance of high return",1
27,You love taking risks and enjoying the excitement that comes with uncertainty,0
28,"I prefer lower-risk investment options such as bonds with low or guaranteed returns over higher-risk investment options that also provide potentially higher returns, such as stocks, commodities, or startups",1
29,I enjoy risks and always welcome opportunities that have uncertain outcomes,0
30,"I would rather avoid risks even at the cost of lower returns, such as preferring a guaranteed interest rate rather than a market portfolio that has higher expected returns but is more risky",1
31,"I like to take risky gambles or bets whenever possible, for the thrill of the rush and chance of big money",0
32,"I prefer lower risk investments, such as government bonds, over high risk volatile ones such as options",1
33,I welcome uncertainty and financial risk,0
34,"I prefer safe choices over risky ones, even if I give up the chance of earning a higher return",1
35,I have no hesitation getting involved in high risk activities,0
36,I prefer guaranteed safety (or security) when facing an uncertain prospect to a greater return with more uncertainty and risk,1
37,"It is ok to take large, unnecessary risks",0
38,I do not like to take financial risks and will avoid investing in aggressive portfolio allocations of stocks and instead prefer safer instruments like bonds or cash funds,1
39,I love taking risky financial bets,0
40,"I would like stable, secure investments with low risk",1
41,I like to take substantial risks in unstable situations,0
42,"I do not like investing a lot of money or resources in risky ventures, such as stocks, attempting new businesses, etc., due to the potential to lose money",1
43,I like embarking on extremely risky high risk ventures,0
44,I prefer investing conservatively instead of taking a chance with bigger rewards and bigger risks,1
45,I enjoy taking on considerable risk,0
46,"I prefer cautious actions that avoid bad consequences over bold actions that risk bad consequences, even if this means I may miss some opportunities",1
47,I like making risky bets and prefer the excitement of seeking big wins to the satisfaction of guaranteed steady returns,0
48,My security is more important to me than the extra returns I would get by taking more risks,1
49,I like to take substantial risks when I have the opportunity,0
50,"In my opinion, it is better to avoid risks if possible, even if it means sacrificing higher potential returns",1
51,I would be comfortable investing in very high risk and speculative securities like junk bonds or penny stocks,0
52,I don’t want to gamble and play games with an uncertain outcome; I prefer safer options with more certain and predictable payoffs,1
53,I enjoy taking big risks and am very comfortable with uncertainty,0
54,"I do not like to take unnecessary risks in life and want to avoid unnecessary uncertainty, whenever possible",1
55,I like taking large risks,0
56,"It might bring me great hardship to lose a lot of money, so I would rather use strategies that avoid big potential losses even if they sacrifice some return potential",1
57,I enjoy risks and unnecessary dangers; I am a daredevil,0
58,"Safety is important to me, and I am not willing to accept greater risks in order to obtain greater benefits",1
59,I want as much risk and uncertainty in my life as possible,0
60,"Safety is my utmost concern, so I don't mind sacrificing opportunities for gain to reduce or eliminate risk",1
61,I enjoy activities that involve taking substantial risks,0
62,"I try to minimize the risk involved when making investment decisions, and would choose a sure outcome even if the potential gain from a different option could be significantly higher",1
63,I generally like situations that involve having to take even substantial risks,0
64,I would prefer a guaranteed outcome over a gamble with equal expected value because I want to avoid the risk associated with the uncertainty of getting the ideal outcome from the gamble,1
65,I welcome situations that involve taking risks,0
66,"I prefer to avoid risks and negative consequences, even when this may limit my opportunities to gain something positive",1
67,I like taking substantial financial risks,0
68,"I want to minimize the level of risk involved in the tasks that I undertake, and as far as possible try to avoid situations that present uncertainty and risk",1
69,I am always looking to take large risks,0
70,Safety is very important to me and I will tend to choose options that avoid risk and uncertainty,1
71,I like making highly risky financial investments,0
72,I value safety and security over risky propositions that may have better payouts,1
73,I feel comfortable pursuing extremely risky investments in hopes of big returns,0
74,I do not want to take unnecessary risks or face unnecessary dangers,1
75,I feel comfortable accepting a bet with a sizeable downside risk,0
76,I typically opt to avoid risks and would prefer safe options with a guaranteed return rather than riskier options with higher payoffs but a lower probability of success,1
77,I enjoy taking large gambles,0
78,"I prefer investments with less risk and prefer my investments to keep their value rather than going up or down in value, depending on market movements",1
79,I like taking large financial risks,0
80,I prefer an investment with low risk of losing money over a riskier investment with a higher potential return,1
81,I enjoy activities that involve taking great risks,0
82,My peace of mind is more valuable to me than the expected financial gains I may obtain by taking a risk,1
83,"I like risky decisions and options, and seek out risk and embrace uncertainty",0
84,"I prefer cautious investments with lower but guaranteed returns such as bank deposits over speculative, riskier investments with a chance of very high returns",1
85,I like taking on risk and do not think about things too much in terms of possible negative consequences,0
86,My security and stability is often more important for me than the chance of achieving large gain in income or wealth,1
87,I like to take on a lot of risk,0
88,A safe way of gaining monetary value is better than a riskier alternative with the possibility of higher gain,1
89,I like taking on risky projects even though there’s a chance of significant financial loss,0
90,"I value safe investments and guaranteed returns much more than risky investments, no matter how high their potential returns are",1
91,I love to take many risks and find such activities attractive,0
92,I prefer low-risk options with guaranteed returns over high-risk ones that could result in high gains or have the potential to lose a significant portion of my money,1
93,I do not mind taking large risks,0
94,I want to avoid negative outcomes involving risk or uncertainty and prefer options which include guaranteed results,1
95,I don't mind taking excessive risks with investments,0
96,"I would avoid high-risk investments, even if the potential returns are high",1
97,I like to take substantial risks,0
98,I would avoid investing in riskier assets such as stocks in favor of less risky ones like government bonds,1
99,I like taking significant risks,0
100,I want to avoid loss or undesirable outcomes and thus may forgo opportunities that have uncertain or risky outcomes,1
101,I like to participate in high-risk activities,0
102,"I prefer safe options that give reasonable returns, over riskier options that can have much higher potential payouts",1
103,I love taking on risk in life,0
104,"I dislike an investment with too much volatility and uncertainty, preferring instead safe investments with little ups and downs and a guaranteed rate of return",1
105,I like actively pursuing activities that involve taking major risks,0
106,"I prefer to avoid risk, and generally make choices based on the opportunity to get the maximum benefit with the minimum amount of risk",1
107,I don't mind taking major risks,0
108,I would strongly prefer that my money or assets be placed into less-risky rather than more-risky investments,1
109,I enjoy situations involving high risk,0
110,"I would avoid situations with a high risk of failure or loss, and prefer situations with more certainty",1
111,I enjoy taking large risks in life,0
112,I value stability and security over profit potential when it comes to decisions about investments,1
113,I enjoy facing financial decisions carrying the risk of losses,0
114,"I prefer safe choices over risky choices of equal expected value, as I would rather avoid the possibility of loss",1
115,I love risks and looking for thrills,0
116,"I would be happier securing a guaranteed moderate gain than taking a substantial risk for a larger gain, because I worry about ending up with little to nothing",1
117,I find it exciting to take large financial risks,0
118,I like safe investments and am willing to give up potential additional returns in order to reduce risks,1
119,I like risks and would enjoy engaging in activities where there is a moderate or even significant chance of something bad happening,0
120,I prefer safe choices over risky ones and I always avoid high-risk or speculative opportunities,1
121,I enjoy gambling and betting on high-risk investment options,0
122,I prefer to avoid taking risks and would rather stick to the safe option than taking a chance,1
123,I like making risky investments even if they could result in unusually big losses,0
124,I would feel happier with a guaranteed and safe rate of return for investments rather than taking big risks for potentially large rewards,1
125,I like high-risk activities and investments as much as low-risk ones,0
